Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
26:32	u5n9	210462	Active or Passive [26672]	This man was able to have been released	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “You could have released this man”
27:1	w55p	210463	Active or Passive [26672]	it was decided for us to sail	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “the Roman authorities decided that we should sail”
27:1	w4d1	210464	Assumed Knowledge and Implicit Information [26687]	it was decided for us to sail	1	Luke assumes that his readers will understand that he says **us** because he joined Paul at this point in the story. You can include this information if your readers need it to understand what is happening. UST models a way to do this.
27:1	nm0p	210465	Exclusive and Inclusive ‘We’ [26685]	for us	1	As the General Notes to this chapter explain, here and in several other places Luke says “we,” **us**, and “our” to mean himself and others who were traveling with him, but not his readers. So use the exclusive form of those words if your language marks that distinction.
27:1	knnz	210466	Introduction of New and Old Participants [26835]	to a centurion, Julius by name	1	Luke is using the phrase **a centurion** to introduce **Julius** as a new participant in the story. If your language has its own way of introducing new participants, you could use it here in your translation.
27:1	jm94	210467	How to Translate Names [26805]	Julius	1	The word **Julius** is the name of a man.
27:1	nam5	210468	How to Translate Names [26805]	of the Augustan regiment	1	The **Augustan regiment** was the name of the military unit from which this centurion came. Some versions translate this as the “Imperial regiment.”
27:2	ew47	210469	How to Translate Names [26805]	from Adramyttium	1	The word ** Adramyttium ** is the name of a city.
27:2	v329	210470	Metonymy [26707]	a ship  &  being about to sail	1	Luke is referring to what the crew of this ship was about to do by association with the ship itself. If it would be helpful in your language, you could use an equivalent expression or express the meaning plainly. Alternate translation: “a ship whose crew was about to sail it”
27:2	wam7	210471	How to Translate Names [26805]	Aristarchus	1	The word **Aristarchus** is the name of a man who came from Macedonia but who had been working with Paul in Ephesus. See how you translated his name in 19:29.
27:3	eaat	210472	Idiom [26697]	we came down to Sidon	1	As the General Notes to this chapter explain, Luke says that he and the other travelers **came down** to Sidon because that was the customary way in this culture of describing people arriving somewhere after traveling by sea. Your language may have its own way of describing that. Alternate translation: “we landed at Sidon”
27:3	pz2m	210473	Abstract Nouns [26671]	to receive {their} care	1	If your language does not use an abstract noun for the idea of **care**, you could express the same idea in another way. Alternate translation: “so that they could care for him”
27:4	op9z	210474	Idiom [26697]	we sailed under Cyprus	1	The expression **sailed under** does not mean that the travelers sailed south of the island of Cyprus, such as Luke describes in 21:3, even though that would have been the shortest route. Rather, **sailed under** means that the ship kept close to the northern shore of the island, which loomed above the ship and blocked the wind. If it would be helpful in your language, you could express that meaning plainly. However, if the people of your culture are familiar with sea travel, you could use the corresponding expression that is most natural in your language. Alternate translation: “we stayed close to the northern shore of Cyprus”
27:5	x7c0	210475	Assumed Knowledge and Implicit Information [26687]	we came down to Myra of Lycia	1	Luke assumes that his readers will understand that the travelers got off the ship at **Myra**. You can include this information if that would be helpful to your readers. Alternate translation: “we came down to Myra of Lycia, where we got off the ship”
27:5	crvz	210476	How to Translate Names [26805]	Myra of Lycia	1	The word **Myra** is the name of a city, and the word **Lycia** is the name of the province in which that city was located.
27:6	w3dj	210477	Metonymy [26707]	an Alexandrian ship sailing to Italy	1	Luke is referring to what the crew of this ship was doing by association with the ship itself. If it would be helpful in your language, you could use an equivalent expression or express the meaning plainly. Alternate translation: “a ship whose crew was sailing it to Italy”
27:6	wyz9	210478	How to Translate Names [26805]	Alexandrian	1	The word **Alexandrian** is the name for someone or something that comes from the city of Alexandria. See how you translated it in 18:24.
27:7	kfhq	210479	Assumed Knowledge and Implicit Information [26687]	And sailing slowly for many days and having arrived with difficulty near Cnidus	1	Luke assumes that his readers will understand that the ship was **sailing slowly** and **with difficulty** because it was sailing into the wind. You can include this information if that would be helpful to your readers. Alternate translation: “sailing slowly for many days and having arrived with difficulty near Cnidus because we were sailing into the wind”
27:7	an8d	210480	How to Translate Names [26805]	Cnidus	1	The word **Cnidus** is the name of a city.
27:7	x83p	210481	How to Translate Names [26805]	Crete  &  Salmone	1	The word **Crete** is the name of an island. See how you translated the word “Cretans” in 2:11. The word **Salmone** is the name of a cape on the east end of the island of Crete.
27:8	bq0c	210482	Pronouns — When to Use Them [26838]	sailing along it	1	The pronoun **it** refers the island of Crete. It may be helpful to clarify this for your readers. Alternate translation: “sailing along the island of Crete”
27:8	altx	210483	Assumed Knowledge and Implicit Information [26687]	with difficulty	1	The implication is that even under the shelter of the island of Crete, the winds were still so strong as to make sailing to the west difficult. You can provide this information in your translation if that would be helpful to your readers. Alternate translation: “with difficulty because the winds from the west were strong even there”
27:8	eynl	210484	How to Translate Names [26805]	Fair Havens	1	The word **Fair Havens** is the name of a port on the south coast of the island of Crete.
27:8	h4kg	210485	How to Translate Names [26805]	was  &  the city of Lasea	1	The word **Lasea** is the name of a city on the coast of the island of Crete.
27:9	ogku	210486	Assumed Knowledge and Implicit Information [26687]	even the fast had already passed	1	Luke assumes that his readers will understand that after this **fast**, which came in the last part of September or the first part of October according to Western calendars, there was a higher risk of seasonal storms. You can include this information if that would be helpful to your readers. Alternate translation: “even the fast had already passed and so there was a higher risk of seasonal storms”
27:9	qfy8	210487	Metonymy [26707]	the fast	1	Luke is referring to the Day of Atonement by association with the way that Jews observed a **fast** in connection with that sacred day. If it would be helpful in your language, you could use an equivalent expression or express the meaning plainly. Alternate translation: “the Day of Atonement”
27:9	xbk9	210488	Pronouns — When to Use Them [26838]	Paul was warning them	1	The pronoun **them** refers to the centurion and to the pilot and owner of the ship, as verse 11 makes clear. It may be helpful to clarify this for your readers. Alternate translation: “Paul was warning Julius and the pilot and the owner of the ship”
27:10	m9e1	210489	Metaphor [26706]	I see	1	Paul is speaking as if he could literally **see** the things he describes. He means that God has revealed them to him. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “God has revealed to me”
27:10	f2b7	210490	Abstract Nouns [26671]	the voyage is about to be with injury and much loss, not only of the cargo and the ship, but also of our lives	1	If your language does not use abstract nouns for the ideas of **injury** and **loss**, you could express the same ideas in other ways. It may be helpful to make this two sentences. Alternate translation: “on this voyage, many of us will be injured and we will lose many valuable things. We will not only lose the cargo and the ship, we will lose our lives”
27:11	hj5d	210491	Active or Passive [26672]	the centurion was being persuaded more by the pilot and by the captain than by the things being spoken by Paul	1	If your language does not use these passive forms, you could express the ideas in active form or in other ways that are natural in your language. Alternate translation: “the pilot and the captain were persuading the centurion more by what they were saying than Paul was persuading him by what he was saying”
27:11	ufoh	210492	Assumed Knowledge and Implicit Information [26687]	by the captain	1	Here the word **captain** could mean: (1) someone who was in command of the ship. Alternate translation: “the ship’s commander” (2) someone who owned the ship and was in command of it. However, while this is a common meaning of the word, it is unlikely in this context. We learn from the story that this ship was carrying grain from Egypt to Italy and so it would have belonged to the emperor’s own fleet. Alternate translation: “the shipowner”
27:12	g1kj	210493	Translate Unknowns [26822]	harbor	1	A **harbor** is a place on the coast whose location and shape allow ships to come safely close to the land. If your language does not have a term for such a place, you could use a general description in your translation. Alternate translation: “place of access to the shore”
27:12	basb	210494	Translate Unknowns [26822]	wintering,  &  to winter there	1	The terms **wintering** and **to winter** mean to stay in a place that is safe during the winter, which is a cold and stormy season in this location. If the seasons do not vary much in your location or if there is not a cold and stormy season, you could explain this with a general expression. Alternate translation: “staying during a cold and stormy season … to stay there during the cold and stormy season”
27:12	mupb	210495	How to Translate Names [26805]	Phoenix	1	The word **Phoenix** is the name of a port city on the south coast of Crete.
27:12	aiux	210496	Idiom [26697]	looking according to the southwest wind and according to the northwest wind	1	This expression means that the Phoenix harbor provided access for ships to sail out in the directions that the winds coming from the **southwest** and the **northwest** blew. That is, ships would sail out to the northeast and southeast from the harbor, and they would enter the harbor from the northeast or southeast. Your language and culture may have a comparable expression of its own that you can use in your translation. Otherwise, you could describe this in general terms. Alternate translation: “looking down the northwest wind and down the southwest wind”
27:12	d0tp	210497	Metaphor [26706]	looking according to the southwest wind and according to the northwest wind	1	Luke is speaking as if the harbor of Phoenix was literally **looking** in these directions. He means that it gave access for ships to sail in those directions. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “giving access for sailing to the northeast or to the southeast”
27:12	g0p3	210498	Translate Unknowns [26822]	the southwest wind  &  the northwest wind	1	These directions are based on the rising and setting of the sun. The **southwest** is somewhat to the left of the setting sun, and the **northwest** is somewhat to the right of the setting sun. If you decide to use the terms “northeast” and “southeast” instead, based on the two previous notes, the northeast is somewhat to the left of the rising sun and the southeast is somewhat to the right of the rising sun. Your language and culture may have their own terms for these directions.
27:13	ehao	210499	Translate Unknowns [26822]	having raised {the anchor	1	An **anchor** is a heavy object that is attached to a rope that is tied to a ship. The ship’s crew tosses the anchor into the water and it sinks to the bottom of the sea, keeping the ship from drifting about. The crew raises the anchor out of the water when it is time for the ship to travel. Your language may have a specific expression for this action. Alternate translation: “having weighed anchor”
27:13	lyej	210500	Pronouns — When to Use Them [26838]	they were sailing along	1	The pronoun **they** refers to the crew of the ship. It may be helpful to clarify this for your readers. Alternate translation: “the crew was sailing the ship”
27:14	tva4	210501	Litotes [26704]	after not long	1	Luke is using a figure of speech that expresses a positive meaning by using a negative word together with a word that is the opposite of the intended meaning. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “after a short time”
27:14	v1x7	210502	Copy or Borrow Words [26821]	called Eurakylon	1	The term **Euraklyon** is a combination of the Greek word for the east wind and the Latin word for the north wind. Luke spells out the term using Greek letters so that his readers will know how it sounds. This seems to be the name that Luke heard the sailors give to this wind. In your translation, you could spell it the way it sounds in your language. You could also say what it means. Alternate translation: “called the Northeaster”
27:14	ybzx	210503	Active or Passive [26672]	called	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “that the sailors called”
27:14	ox76	210504	Pronouns — When to Use Them [26838]	it	1	The pronoun **it** refers to the island of Crete. It may be helpful to clarify this for your readers. Alternate translation: “the island of Crete”
27:15	xgoi	210505	Active or Passive [26672]	And the ship having been seized and not being able to face into the wind	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “when the wind seized the ship, so that we were not able to face into the wind”
27:15	l7p9	210506	Personification [26716]	the ship having been seized and not being able to face into the wind	1	Luke is speaking of the **wind** as if it were a living thing that **seized** the **ship**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “with the wind blowing with such force that it kept the ship from sailing in the direction from which it was coming”
27:15	mxni	210507	Metaphor [26706]	to face into the wind	1	Luke is speaking as if the ship literally had a **face** that it could turn towards the wind. Your language may have an expression that suits this context and that you can use in your translation. Alternate translation: “to bear up against the wind”
27:15	ubyd	210508	Active or Passive [26672]	we were driven along	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “the wind drove us along”
27:16	gdur	210509	Idiom [26697]	running under a certain island called Cauda	1	The expression **running under** is a sailing term that means to go along a specific side of some land in order to block the wind. Your language may have a specific expression for this action. If not, you could explain the meaning generally. Alternate translation: “sailing under the lee of a certain island called Cauda” or “sailing on the side of an island called Cauda where the wind was not so strong”
27:16	z7sn	210510	Active or Passive [26672]	a certain island called Cauda	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “a certain island that people called Cauda”
27:16	j34p	210511	How to Translate Names [26805]	Cauda	1	The word **Cauda** is the name of a small island located off the south coast of Crete.
27:16	sac9	210512	Translate Unknowns [26822]	of the lifeboat	1	A **lifeboat** is a smaller boat that crews sometimes tow behind their larger ship and sometimes bring up onto the ship and tie down. They use the smaller boat for various reasons, including escaping from the larger ship if it is sinking. If your language does not have a term for a smaller boat like this, you could use a general expression in your translation. Alternate translation: “of the smaller utility boat that the ship was towing”
27:17	lqkd	210513	Idiom [26697]	they were using helps, undergirding the ship	1	The word **helps** is a nautical term that means ropes or cables. The word **undergirding** describes the process of running ropes or cables around the bottom of a ship so that the ship will not come apart during a storm. If your language does not have comparable nautical terms, you could state the meaning plainly in your translation. Alternate translation: “they were tying ropes around the bottom of the ship so that it would not come apart during the storm”
27:17	s9r9	210514	Pronouns — When to Use Them [26838]	they were using	1	Here and in the next two verses, the pronoun **they** refers to the sailors of the ship. It may be helpful to clarify this for your readers. Alternate translation: “the sailors were using”
27:17	wzoh	210515	Idiom [26697]	lest they might fall into the Syrtis	1	The expression **fall into** is a nautical term that in this context describes a ship becoming stuck in quicksand. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “they might run aground on the Syrtis”
27:17	h0um	210516	How to Translate Names [26805]	the Syrtis	1	The word **Syrtis** is the name of a large mass of quicksand near the north coast of Africa.
27:17	mrw7	210517	Translate Unknowns [26822]	the Syrtis	1	Quicksand, which the word **Syrtis** describes, is sand that is saturated with water. It does not support the weight of a person, so sailors cannot get out of a ship to free it if the ship gets stuck in quicksand. If your readers would not be familiar with quicksand, you could describe it generally in your translation. Alternate translation: “the large mass of waterlogged sand off the north coast of Africa”
27:17	n8ov	210518	Translate Unknowns [26822]	lowering the gear	1	The term **gear** could mean: (1) the sails of the ship and the rigging that the sailors uses to raise and lower the sails. If this is the meaning, then Luke is saying that without sails, the sailors could not steer the ship and it had to go wherever the wind drove it. Alternate translation: “taking down the sails” (2) a sea anchor, that is, some object that the sailors would drag along in the water behind the ship in order to slow the ship down. If this is the meaning, then the sailors lowered this sea anchor in the hopes that the storm would end before they reached the quicksand. Alternate translation: “putting a sea anchor into the water”
27:17	s3dc	210519	Active or Passive [26672]	they were being driven along	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “the wind was driving them along”
27:18	sys3	210520	Active or Passive [26672]	we being exceedingly storm-tossed	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “as the storm was tossing us exceedingly”
27:18	hlty	210521	Idiom [26697]	they were doing a jettison	1	The word **jettison** is a nautical term that describes sailors throwing the cargo of a ship (the goods that the ship is transporting) into the sea to lighten the weight of the ship in an effort to prevent it from sinking. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “they were throwing the cargo of the ship into the sea to make the ship lighter to try to keep it from sinking”
27:19	ktjr	210522	Idiom [26697]	on the third day	1	In the idiom of this culture, today was the “first day,” tomorrow was the “second day,” and the day after tomorrow was the “third day.” So here, **the third day** means two days after the sailors tied ropes around the ship and one day after the sailors threw the cargo overboard. You may wish to express this in your translation in the way your own culture reckons time. Alternate translation: “on the day after that”
27:19	rkqn	210523	Ordinal Numbers [26807]	on the third day	1	If you retain this idiom but your language does not use ordinal numbers, you could use a cardinal number here or an equivalent expression. Alternate translation: “on day three”
27:19	wlcf	210524	Assumed Knowledge and Implicit Information [26687]	they threw the equipment of the ship {overboard	1	Luke assumes that his readers will understand that the sailors **threw the equipment … overboard** in a desperate effort to make the ship even lighter. In this context, **equipment** refers to everything the sailors needed to sail the ship: tackle, hoists, beams of wood, block and tackle, ropes, lines, sails, and the like. This indicates that they had given up on sailing the ship and were hoping just to survive. You can include this information if that would be helpful to your readers. Alternate translation: “they became so desperate that they threw overboard everything they needed to sail the ship, hoping just to survive”
27:19	k94p	210525	Synecdoche [26729]	with their own hands	1	Luke is using one part of the sailors, their **hands**, to represent all of them in the act of throwing the cargo overboard. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: “themselves”
27:20	wqyo	210526	Assumed Knowledge and Implicit Information [26687]	neither sun nor stars appearing for many days	1	Luke assumes that his readers will understand that the **sun** and **stars** did not appear because the dark storm clouds obscured them. Luke also assumes that his readers will understand that sailors needed to see the sun and stars in order to know where they were and in what direction they were headed. So this is a further indication of how desperate the situation was. You can include this information if that would be helpful to your readers. Alternate translation: “since the sailors could not determine their position or nagivate the ship because the dark storm clouds prevented the sun and stars from appearing for many days”
27:20	u06r	210527	Litotes [26704]	no small storm	1	Luke is using a figure of speech that expresses a positive meaning by using a negative word together with a word that is the opposite of the intended meaning. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “a great storm”
27:20	c22v	210528	Personification [26716]	lying upon us	1	Luke is speaking of the storm as if they were a living thing that was **lying upon** the ship. He means that the storm continued to buffet the ship without ever letting up. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “continually buffeting the ship”
27:20	fjr7	210529	Active or Passive [26672]	all hope for us to be saved was finally being taken away	1	If your language does not use these passive forms, you could express the same ideas in active form or in another way that is natural in your language. Alternate translation: “we finally lost all hope that we could save ourselves”
27:20	sar5	210530	Abstract Nouns [26671]	all hope for us to be saved was finally being taken away	1	If your language does not use an abstract noun for the idea of **hope**, you could express the same idea in another way. Alternate translation: “we finally stopped hoping that we could save ourselves”
27:20	f84k	210531	Hyperbole [26695]	all hope for us to be saved was finally being taken away	1	Luke says **all** here as a generalization for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: “it finally became very difficult to hope that we could save ourselves”
27:21	izfo	210532	Abstract Nouns [26671]	as there had been much abstinence	1	If your language does not use an abstract noun for the idea of **abstinence**, you could express the same idea in another way. Alternate translation: “as we had gone a long time without eating food”
27:21	dlyq	210533	Symbolic Action [26816]	having stood up in the midst of them	1	Paul **stood up** to indicate that he had something important to say. Alternate translation: “having stood up in the midst of them to show that he had something important to say”
27:21	pwdo	210534	Doublet [26680]	this damage and loss	1	The terms **injury** and **loss** mean similar things. Paul is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “such a great loss”
27:22	awtr	210535	Ellipsis [26681]	there will be no loss of life among you, only of the ship	1	Paul is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: “there will be no loss of life among you, there will only be loss of the ship”
27:23	pt0u	210536	Parallelism [26713]	of the God whose I am and whom I serve	1	The phrases **whose I am** and **whom I serve** mean similar things. Paul is using repetition for emphasis. If it would be helpful to your readers, you could combine these phrases in your translation. Alternate translation: “of the God I worship”
27:24	rduk	210537	Quotes within Quotes [26721]	saying, ‘Do not be afraid, Paul. It is necessary for you to stand before Caesar, and behold, God has graciously granted to you all the ones sailing with you	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. It may be helpful to begin a new sentence here. Alternate translation: “The angel told me that I should not be afraid, because it was necessary for me to stand before Caesar, and behold, God had graciously granted to me all the ones sailing with me”
27:24	bdw3	210538	Metaphor [26706]	behold	1	The angel is using the term **behold** to focus Paul’s attention on what he is about to say. Your language may have a comparable expression that you can use in your translation.
27:24	xtgo	210539	Synecdoche [26729]	It is necessary for you to stand before Caesar	1	The angel is using one aspect of the trial process, the fact that an accused person would **stand before** a judge, to represent the entire process. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: “You must appear in Caesar’s court so that he can judge you”
27:25	nuet	210540	Active or Passive [26672]	according to the way it was told to me	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “according to the way the angel told me”
27:26	jqrd	210541	Idiom [26697]	to fall upon some island	1	The expression **fall upon** is a nautical term that in this context describes a ship running aground on the shore of an island. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “to run aground on some island”
27:27	i6tn	210542	Ordinal Numbers [26807]	the fourteenth night	1	If your language does not use ordinal numbers, you could use a cardinal number here or an equivalent expression. Alternate translation: “night 14”
27:27	iwli	210543	Active or Passive [26672]	as we were being driven about	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “as the storm was driving us about”
27:27	z1us	210544	How to Translate Names [26805]	the Hadria	1	The word **Hadria** is the term that people of this culture used to describe the open Mediterranean Sea between Italy and Malta on the west and Greece and Crete on the east.
27:27	qxfl	210545	Personification [26716]	some land to be approaching them	1	Luke is speaking of this **land** as if it were a living thing that was **approaching** the sailors on the ship. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “that they were approaching some land”
27:28	hptm	210546	Idiom [26697]	taking soundings	1	The expression **taking soundings** is a nautical term that describes sailors determining the depth of the water. Sailors measure this by dropping a marked line with a weight tied to the end of it into the water. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “measuring the depth of the sea water”
27:28	sq4x	210547	Numbers [26806]	20 fathoms,  &  15 fathoms	1	A **fathom** is a unit of measurement of the depth of water. One fathom is equal to about two meters or about six feet. Alternate translation: “40 meters … 30 meters” or “120 feet … 90 feet”
27:29	z4ia	210548	Idiom [26697]	we might fall upon	1	The expression **fall upon** is a nautical term that in this context describes a ship running aground on **some rugged place**. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “we might run aground on”
27:29	i7s7	210549	Idiom [26697]	the stern	1	The word **stern** is a nautical term that means the back of a ship. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “the back of the ship”
27:30	e4y1	210550	Idiom [26697]	the bow	1	The word **bow** is a nautical term that means the front of a ship. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “the front of the ship”
27:31	i0p3	210551	Active or Passive [26672]	you are not able to be saved	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “you will not be able to save yourselves”
27:32	qwrn	210552	Idiom [26697]	fall away	1	The expression **fall away** is a nautical term that in this context could mean: (1) that the soldiers let the lifeboat fall into the water where none of the sailors could get into it, because it was no longer tied to the ship. Alternate translation: “fall into the water” (2) that the soldiers let the lifeboat, which was already in the water, drift away where none of the sailors could get into it. Alternate translation: “drift away”
27:33	i2zb	210553	Ordinal Numbers [26807]	Anxiously waiting for a fourteenth day today, you are continuing	1	If your language does not use ordinal numbers, you could use a cardinal number here or an equivalent expression. Alternate translation: “This is now day 14 that you have been anxiously waiting, and you are continuing”
27:33	xgf1	210554	Doublet [26680]	fasting, having eaten nothing	1	The expressions **fasting** and **having eaten nothing** mean similar things. Paul is using the two expressions together for emphasis. If it would be clearer for your readers, you could express this emphasis with a single phrase. Alternate translation: “to eat nothing at all”
27:34	oj4f	210555	Abstract Nouns [26671]	this is for your salvation	1	If your language does not use an abstract noun for the idea of **salvation**, you could express the same idea in another way. Alternate translation: “this will save you” or “this will keep you alive”
27:34	psnp	210556	Synecdoche [26729]	a hair from the head of none of you will perish	1	Paul is using one part of each of his listeners, a **hair** from his **head**, to represent all of that listener. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: “each of you will survive without suffering harm”
27:36	t5ff	210557	Active or Passive [26672]	they were all encouraged	1	The phrase **were … encouraged** is not actually a passive form in Greek. The word translated **encouraged** is an adjective. However, this phrase might sound like a passive verbal form in other langauges. If your language does not use passive forms, you could state this in active form or in another way that is natural in your language. Alternate translation: “this encouraged them all”
27:37	a7q5	210558	Background Information [26829]	we, all the souls in the ship, were 276	1	This is background information about the number of people on the ship. In your translation, introduce this information in a way that would be natural in your own language and culture.
27:37	zxrm	210559	Synecdoche [26729]	the souls	1	Luke is using one part of the people on the ship, their **souls**, to represent their entire selves. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: “the people”
27:38	w3as	210560	Active or Passive [26672]	having been satisfied with food	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “having eaten enough food to satisfy them”
27:39	uxmu	210561	Pronouns — When to Use Them [26838]	they were not recognizing	1	Here and in the rest of this verse and in the next verse, the pronoun **they** refers to the sailors. It may be helpful to clarify this for your readers. Alternate translation: “the sailors were not recognizing”
27:39	kpbq	210562	Translate Unknowns [26822]	a certain bay	1	A **bay** is a large area of water that partly surrounded by land but open to a larger body of water. Your language may have a specific expression for this kind of area. If not, you could explain the meaning generally. Alternate translation: “a certain area of water sheltered by the land”
27:40	qpea	210563	Idiom [26697]	the bands of the rudders	1	The words **bands** and **rudders** are nautical terms. The **rudders** were large pieces of wood at the back of the ship that the sailors used for steering the ship. The **bands** were ropes or cords that held the rudders out of the water while anchors were holding the ship in one place. If your language does not have comparable nautical terms, you could state the meaning plainly in your translation. Alternate translation: “the ropes that held out of the water the pieces of wood that the sailors used to steer the ship”
27:40	ducq	210564	Translate Unknowns [26822]	the topsail	1	A sail is a large piece of cloth that catches the wind in order to propel a ship through the water. A **topsail** is a sail that sailors place at the top of a mast on a ship. A mast is a vertical pole with cross-poles that hold sails. Alternate translation: “the sail that sailors put at the top of a pole, high above the ship”
27:40	vga0	210565	Idiom [26697]	they were heading to the beach	1	In this context, the expression **they were heading** is a nautical term that describes a ship moving in a specific direction. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “they were steering the ship toward the beach”
27:41	sc1v	210566	Idiom [26697]	having fallen into	1	The expression **having fallen into** is a nautical term that in this context describes a ship striking land. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “striking”
27:41	vnxy	210567	Idiom [26697]	a place between two seas	1	The expression **a place between two seas** is a nautical term that describes a sandbar that extends out from the land. A sandbar forms when a sea current coming from one direction flows across a sea current coming from another direction. This causes the sand under the water to pile up, making the water shallow and dangerous for ships. If your language does not have a comparable nautical term, you could state the meaning plainly in your translation. Alternate translation: “a sandbar extending out from the land”
27:41	k8a4	210568	Active or Passive [26672]	but the stern was being loosed by the violence	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “but the violence was breaking up the stern”
27:41	fqvd	210569	Assumed Knowledge and Implicit Information [26687]	by the violence	1	Luke assumes that his readers will understand that he is referring to the **violence** of the waves that were hitting the **stern** of the ship. You can include this information if that would be helpful to your readers. Alternate translation: “by the violence of the waves”
27:41	drry	210570	Abstract Nouns [26671]	by the violence	1	If your language does not use an abstract noun for the idea of **violence**, you could express the same idea in another way. Alternate translation: “because the waves that were hitting it were so strong”
27:44	s4ex	210571	Ellipsis [26681]	and the rest	1	Luke is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the previous verse if that would be clearer in your language. Alternate translation: “and the rest to depart”
28:1	x7h5	210572	Active or Passive [26672]	having been brought safely through	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. If you need to say who did the action, it seems that Luke means to say that it was God. Alternate translation: “after God had brought us safely through”
28:1	m4u4	210573	Active or Passive [26672]	the island was called Malta	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “people called the island Malta”
28:1	tl3h	210574	How to Translate Names [26805]	Malta	1	The word **Malta** is the name of an island located south of the island of Sicily.
28:2	och1	210575	Idiom [26697]	the barbarians	1	Luke is using the word **barbarians** in the specific sense that it had in his culture. He means people who did not speak Greek or Latin. From his perspective and the perspective of the others with him, they were “foreigners,” but from their own perspectives, they were “natives” of the island. It may be appropriate to describe them that way in your translation. Alternate translation: “the natives”
28:2	r26r	210576	Litotes [26704]	no ordinary benevolence	1	Luke is using a figure of speech that expresses a positive meaning by using a negative word together with a word that is the opposite of the intended meaning. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “extraordinary benevolence”
28:3	jed0	210577	Translate Unknowns [26822]	a viper	1	A **viper** is a dangerous poisonous snake. If your readers would not recognize this name, you could use the name of another poisonous snake they might recognize or you could use a general expression. Alternate translation: “a snake whose venom was poisonous”
28:4	oxn1	210578	How to Translate Names [26805]	Justice	1	The word **Justice** is the name of a false god who the people of this time believed would avenge crimes.
28:6	p63g	210579	Active or Passive [26672]	him to begin to be inflamed or suddenly to fall down dead	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “that the effects of the venom would begin to inflame him or that he would suddenly fall down dead” or “that the effects of the venom would make his body start to swell or that he would suddenly fall down dead”
28:6	qeet	210580	Double Negatives [26679]	nothing unusual happening to him	1	If it would be clearer in your language, you could use a positive expression to translate this double negative that consists of the negative particle **nothing** and the negative adjective **unusual**. Alternate translation: “everything happening to him as usual”
